414,26,5,3,1,0,3,0,1
397,499,539,445,168,250,343,257,180
278,183,431,617,8,287,60,63,12
235,236,197,149,129,55,63,43,99
1024,1189,985,901,258,457,462,317,252
720,801,803,1050,376,604,598,489,492
0,0,7,0,0,0,0,1,0
627,818,734,756,242,458,495,418,444
146,43,16,4,3,0,0,0,0
633,550,482,908,179,557,451,342,269
384,243,553,659,20,412,381,364,17
212,45,251,402,4,445,63,154,10
638,460,520,692,142,389,485,344,177
1,1,1,1,3,0,1,1,1
761,601,500,699,277,382,339,272,288
1160,2230,1772,3093,1471,1617,2249,1551,2868
785,393,180,69,12,18,7,3,6
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
721,545,511,628,179,388,419,328,221
362,299,208,426,227,224,243,157,207
342,500,509,503,123,291,340,290,111
484,233,334,751,194,383,250,324,240
493,1198,1084,1844,937,746,957,523,515
552,556,506,1043,306,592,644,513,287
435,410,294,605,295,395,360,253,358
997,932,916,1337,243,765,771,607,272
560,509,409,750,102,360,311,251,131
954,758,832,1149,514,628,593,476,277
679,362,382,304,46,133,116,85,50
560,872,793,916,362,519,788,640,334
229,53,357,433,4,559,336,406,11
645,842,904,931,99,598,918,710,123
479,278,752,1008,59,740,482,398,102
909,204,60,13,3,1,7,9,8
733,442,628,805,109,617,524,571,126
423,473,352,427,279,205,334,226,270
936,984,918,1474,398,553,640,426,332
752,703,731,1516,182,981,835,763,390
