Strain	Polynomial	Condition	Data
YKL114C	non_significant	Nlim	Excluded
YKL121W	non_significant	Nlim	Excluded
YKL131W	non_significant	Nlim	Excluded
YKL133C	non_significant	Nlim	Excluded
YKL151C	non_significant	Nlim	Excluded
YKL160W	non_significant	Nlim	Excluded
YKL162C	non_significant	Nlim	Excluded
YKL163W	non_significant	Nlim	Excluded
YKL171W	non_significant	Nlim	Excluded
YKL174C	non_significant	Nlim	Excluded
YKL177W	non_significant	Nlim	Excluded
YKL178C	non_significant	Nlim	Excluded
YKL179C	non_significant	Nlim	Excluded
YKL187C	non_significant	Nlim	Excluded
YKL188C	non_significant	Nlim	Excluded
YKL191W	non_significant	Nlim	Excluded
YKL197C	non_significant	Nlim	Excluded
YKL205W	non_significant	Nlim	Excluded
YKL214C	non_significant	Nlim	Excluded
YKR009C	non_significant	Nlim	Excluded
YKR011C	non_significant	Nlim	Excluded
YKR039W	non_significant	Nlim	Excluded
YKR041W	non_significant	Nlim	Excluded
YKR044W	non_significant	Nlim	Excluded
YKR048C	non_significant	Nlim	Excluded
YKR050W	non_significant	Nlim	Excluded
YKR058W	non_significant	Nlim	Excluded
YKR059W	non_significant	Nlim	Excluded
YKR060W	non_significant	Nlim	Excluded
YKR066C	non_significant	Nlim	Excluded
YKR067W	non_significant	Nlim	Excluded
YKR070W	non_significant	Nlim	Excluded
YKR074W	non_significant	Nlim	Excluded
YKR076W	non_significant	Nlim	Excluded
YKR078W	non_significant	Nlim	Excluded
YKR080W	non_significant	Nlim	Excluded
YKR089C	non_significant	Nlim	Excluded
YKR095W	non_significant	Nlim	Excluded
YLL005C	non_significant	Nlim	Excluded
YLL016W	non_significant	Nlim	Excluded
YLL025W	non_significant	Nlim	Excluded
YLL028W	non_significant	Nlim	Excluded
YLL041C	non_significant	Nlim	Excluded
YLL042C	non_significant	Nlim	Excluded
YLL043W	non_significant	Nlim	Excluded
YLL047W	non_significant	Nlim	Excluded
YLL051C	non_significant	Nlim	Excluded
YLL055W	non_significant	Nlim	Excluded
YLL057C	non_significant	Nlim	Excluded
YLR003C	non_significant	Nlim	Excluded
YLR004C	non_significant	Nlim	Excluded
YLR011W	non_significant	Nlim	Excluded
YLR014C	non_significant	Nlim	Excluded
YLR018C	non_significant	Nlim	Excluded
YLR019W	non_significant	Nlim	Excluded
YLR021W	non_significant	Nlim	Excluded
YLR023C	non_significant	Nlim	Excluded
YLR028C	non_significant	Nlim	Excluded
YLR030W	non_significant	Nlim	Excluded
YLR034C	non_significant	Nlim	Excluded
YLR038C	non_significant	Nlim	Excluded
YLR041W	non_significant	Nlim	Excluded
YLR044C	non_significant	Nlim	Excluded
YLR048W	non_significant	Nlim	Excluded
YLR050C	non_significant	Nlim	Excluded
YLR054C	non_significant	Nlim	Excluded
YLR057W	non_significant	Nlim	Excluded
YLR064W	non_significant	Nlim	Excluded
YLR070C	non_significant	Nlim	Excluded
YLR092W	non_significant	Nlim	Excluded
YLR093C	non_significant	Nlim	Excluded
YLR097C	non_significant	Nlim	Excluded
YLR108C	non_significant	Nlim	Excluded
YLR113W	non_significant	Nlim	Excluded
YLR118C	non_significant	Nlim	Excluded
YLR121C	non_significant	Nlim	Excluded
YLR124W	non_significant	Nlim	Excluded
YLR134W	non_significant	Nlim	Excluded
YLR136C	non_significant	Nlim	Excluded
YLR144C	non_significant	Nlim	Excluded
YLR172C	non_significant	Nlim	Excluded
YLR173W	non_significant	Nlim	Excluded
YLR178C	non_significant	Nlim	Excluded
YLR180W	non_significant	Nlim	Excluded
YLR188W	non_significant	Nlim	Excluded
YLR191W	non_significant	Nlim	Excluded
YLR205C	non_significant	Nlim	Excluded
YLR214W	non_significant	Nlim	Excluded
YLR225C	non_significant	Nlim	Excluded
YLR228C	non_significant	Nlim	Excluded
YLR231C	non_significant	Nlim	Excluded
YLR241W	non_significant	Nlim	Excluded
YLR246W	non_significant	Nlim	Excluded
YLR253W	non_significant	Nlim	Excluded
YLR254C	non_significant	Nlim	Excluded
YLR262C	non_significant	Nlim	Excluded
YLR263W	non_significant	Nlim	Excluded
