row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
2378,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.684952614920087e-07,1.629253573767714e-07,1.8053154987418755e-07,0.0,0.0,1.9111097011368428e-07,1.5122036345511916e-07,0.0,1.0678543778897138e-07,8.919715654710314e-08,0.8345117762740423,0,0,0,1,1,0,0,1,3
1073,39.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,6.571315198188339e-06,1.629253573767714e-07,0.0,3.746738464166943e-07,0.0,0.0,4.536610903653575e-07,2.5275697833582023e-07,9.769165588353727e-07,2.267278903027688e-06,2.3206146124384412,0,0,1,0,1,1,0,0,3
2552,41.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,6.908305721172356e-06,1.4663282163909427e-06,3.610630997483751e-07,1.8733692320834715e-07,1.6012256421555315e-07,0.0,0.0,0.0,1.135394565591947e-06,2.383063476737729e-06,2.09870090879335,0,0,0,0,0,1,1,1,3
1043,42.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,7.076800982664365e-06,3.258507147535428e-07,0.0,1.8733692320834715e-07,0.0,0.0,1.5122036345511916e-07,1.2637848916791012e-07,9.834484341561606e-07,2.4647184278196428e-06,2.5059451494468172,0,0,1,0,1,1,0,0,3
1878,13.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,2.190438399396113e-06,8.14626786883857e-07,0.0,0.0,0.0,3.8222194022736856e-07,4.536610903653575e-07,1.2637848916791012e-07,4.959158382550758e-07,7.427795821321491e-07,1.4974916622524768,0,0,1,1,1,0,0,0,3
189,223.0,70.0,5.0,6.0,10.0,0.0,0.0,0.0,3.757444331271794e-05,1.1404775016373999e-05,9.026577493709379e-07,1.1240215392500827e-06,1.6012256421555316e-06,0.0,0.0,0.0,6.575890407483562e-06,1.309640706025447e-05,1.9915489909095043,0,0,0,0,0,1,1,1,3
275,8.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3479620919360695e-06,3.258507147535428e-07,1.8053154987418755e-07,0.0,1.6012256421555315e-07,0.0,1.5122036345511916e-07,0.0,2.70710910529309e-07,4.500799591437119e-07,1.6619712930472983,0,0,0,1,0,1,0,1,3
2511,19.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.201409968348165e-06,4.887760721303142e-07,1.8053154987418755e-07,3.746738464166943e-07,1.6012256421555315e-07,0.0,0.0,0.0,5.506892501231144e-07,1.086308953670738e-06,1.9722769705979597,0,0,0,0,0,1,1,1,3
1200,80.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.3479620919360696e-05,8.14626786883857e-07,0.0,3.746738464166943e-07,1.6012256421555315e-07,1.9111097011368428e-07,0.0,0.0,1.8775193858738108e-06,4.6959816820428944e-06,2.501029610885418,0,0,1,0,0,0,1,1,3
1856,43.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.2452962441563735e-06,0.0,1.8053154987418755e-07,1.8733692320834715e-07,0.0,1.9111097011368428e-07,1.5122036345511916e-07,0.0,9.94437006350964e-07,2.527284136699845e-06,2.5411665132227235,0,1,0,0,1,0,0,1,3
1108,127.0,38.0,1.0,3.0,0.0,2.0,0.0,0.0,2.1398898209485103e-05,6.1911635803173135e-06,1.8053154987418755e-07,5.620107696250414e-07,0.0,3.8222194022736856e-07,0.0,0.0,3.5893532561911268e-06,7.4992403237506965e-06,2.089243065309718,0,0,0,0,1,0,1,1,3
496,12.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0219431379041045e-06,3.258507147535428e-07,3.610630997483751e-07,0.0,1.6012256421555315e-07,3.8222194022736856e-07,0.0,0.0,4.06400182106118e-07,6.735029203731198e-07,1.6568330102181847,0,0,0,1,0,0,1,1,3
2166,100.0,260.0,2.0,7.0,4.0,0.0,0.0,0.0,1.684952614920087e-05,4.2360592917960566e-05,3.610630997483751e-07,1.3113584624584298e-06,6.404902568622126e-07,0.0,0.0,0.0,7.690378860778806e-06,1.5153741654802446e-05,1.9704548870273915,0,0,0,0,0,1,1,1,3
1539,3.0,4.0,0.0,0.0,2.0,2.0,3.0,0.0,5.054857844760261e-07,6.517014295070856e-07,0.0,0.0,3.202451284311063e-07,3.8222194022736856e-07,4.536610903653575e-07,0.0,2.89164421625868e-07,2.579482418851988e-07,0.8917385706660694,0,0,1,1,0,0,0,1,3
3178,6.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0109715689520523e-06,1.629253573767714e-07,0.0,3.746738464166943e-07,0.0,1.9111097011368428e-07,4.536610903653575e-07,0.0,2.7416785415306994e-07,3.443371201715986e-07,1.255477501127138,0,0,1,0,1,0,0,1,3
1593,69.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,1.1626173042948599e-05,8.14626786883857e-07,1.8053154987418755e-07,1.8733692320834715e-07,3.202451284311063e-07,0.0,0.0,0.0,1.6411141789182623e-06,4.04361426283294e-06,2.4637943753923204,0,0,0,0,0,1,1,1,3
488,33.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.560343629236287e-06,1.629253573767714e-07,0.0,1.8733692320834715e-07,0.0,0.0,3.024407269102383e-07,2.5275697833582023e-07,8.082254518834331e-07,1.923857379064857e-06,2.380052953401611,0,0,1,0,1,1,0,0,3
2080,45.0,68.0,1.0,4.0,0.0,0.0,1.0,0.0,7.582286767140391e-06,1.1078924301620456e-05,1.8053154987418755e-07,7.493476928333886e-07,0.0,0.0,1.5122036345511916e-07,0.0,2.467788834365443e-06,4.344631558529886e-06,1.7604648548308708,0,0,0,0,1,1,0,1,3
