row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1136845220166665e-07,0.0,0.0,0.0,2.1136845220166666e-08,6.684057344616984e-08,3.147387135575934,1,1,1,1,1,1,0,1,1,1,9
2074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958834e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958835e-08,6.552668113228077e-08,3.1470899958210365,1,1,0,1,1,1,1,1,1,1,9
3814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958834e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958835e-08,6.552668113228077e-08,3.1470899958210365,1,1,0,1,1,1,1,1,1,1,9
3254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958834e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0721355988958835e-08,6.552668113228077e-08,3.1470899958210365,1,1,0,1,1,1,1,1,1,1,9
513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
1219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
1928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
3464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544857848074064e-08,6.496854500429961e-08,3.146960152615459,0,1,1,1,1,1,1,1,1,1,9
