row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
2901,1494.0,1302.0,1072.0,805.0,713.0,433.0,206.0,113.0,81.0,13.0,0.0003069401762502265,0.0002647299764406587,0.0002221329362016387,0.00017920891618899884,0.00013696732820157287,8.496490145052551e-05,4.354190115354333e-05,2.0867234895630587e-05,8.25908652463757e-06,4.821280687915163e-06,0.00012724337379953476,0.00011167722677939598,0.8776656550208417,0,0,0,0,0,0,0,0,0,0,0
2902,29.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,5.9580087759414785e-06,1.0166281737352485e-06,4.144271197791767e-07,8.904790866534104e-07,5.763001186601944e-07,1.962237908788118e-07,2.1136845220166665e-07,1.8466579553655386e-07,2.039280623367301e-07,0.0,9.65202937572327e-07,1.7848413402357613e-06,1.8489960723879273,0,0,0,0,0,0,0,0,0,1,1
2903,659.0,227.0,75.0,43.0,39.0,29.0,23.0,20.0,23.0,14.0,0.00013539061321880808,4.615491908758028e-05,1.5541016991719124e-05,9.572650181524162e-06,7.4919015425825275e-06,5.690489935485542e-06,4.861474400638333e-06,3.6933159107310773e-06,2.3451727168723962e-06,5.192148433139407e-06,2.359337024190809e-05,4.1346537368497465e-05,1.7524568003165275,0,0,0,0,0,0,0,0,0,0,0
2904,37.0,18.0,16.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,7.601597403787404e-06,3.6598614254468946e-06,3.3154169582334134e-06,8.904790866534104e-07,3.842000791067963e-07,3.924475817576236e-07,0.0,0.0,0.0,0.0,1.6244002534985543e-06,2.5139317219359303e-06,1.5475108215722833,0,0,0,0,0,0,1,1,1,1,4
2905,1158.0,912.0,643.0,421.0,296.0,137.0,47.0,24.0,30.0,5.0,0.00023790945388069766,0.00018543297888930932,0.0001332383190090053,9.372292387027144e-05,5.686161170780585e-05,2.6882659350397216e-05,9.934317253478332e-06,4.431979092877292e-06,3.0589209350509514e-06,1.8543387261212166e-06,7.533275027150145e-05,8.489179407350034e-05,1.1268894481962148,0,0,0,0,0,0,0,0,0,0,0
2906,253.0,35.0,24.0,3.0,11.0,4.0,5.0,4.0,8.0,4.0,5.197849035562738e-05,7.116397216146739e-06,4.97312543735012e-06,6.678593149900578e-07,2.1131004350873796e-06,7.848951635152472e-07,1.0568422610083332e-06,7.386631821462154e-07,8.157122493469204e-07,1.4834709808969732e-06,7.172855659611536e-06,1.5890933347473966e-05,2.2153954522471655,0,0,0,0,0,0,0,0,0,0,0
2907,367.0,107.0,16.0,6.0,10.0,9.0,7.0,11.0,11.0,7.0,7.539962830243181e-05,2.175584291793432e-05,3.3154169582334134e-06,1.3357186299801157e-06,1.9210003955339816e-06,1.7660141179093061e-06,1.4795791654116664e-06,2.0313237509020925e-06,1.1216043428520155e-06,2.5960742165697034e-06,1.1272220279775843e-05,2.338491764515009e-05,2.074543400537153,0,0,0,0,0,0,0,0,0,0,0
2908,320.0,61.0,14.0,13.0,10.0,9.0,9.0,6.0,7.0,1.0,6.5743545113837e-05,1.2402863719570032e-05,2.9009898384542367e-06,2.894057031623584e-06,1.9210003955339816e-06,1.7660141179093061e-06,1.9023160698149998e-06,1.107994773219323e-06,7.137482181785553e-07,3.708677452242433e-07,9.172339702336527e-06,2.0176500057714334e-05,2.1996874018779002,0,0,0,0,0,0,0,0,0,0,0
2909,149.0,60.0,16.0,6.0,12.0,8.0,9.0,4.0,9.0,0.0,3.061183819363036e-05,1.2199538084822982e-05,3.3154169582334134e-06,1.3357186299801157e-06,2.3052004746407777e-06,1.5697903270304944e-06,1.9023160698149998e-06,7.386631821462154e-07,9.176762805152855e-07,0.0,5.4896158200814635e-06,9.487508938960281e-06,1.7282331635919714,0,0,0,0,0,0,0,0,0,1,1
2910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,10
