Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
-0.011816153533841628,-132.58972250178135,,542,500,338,455,484,455,120,361
0.005338363384449943,-215.78122727211408,,1274,1775,1484,2131,2222,2322,919,2459
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.0161645127323785,-56.7936037033344,,509,423,174,181,158,117,29,78
-0.005270480943939328,-48.97665522684072,,188,203,57,52,3,2,1,5
0.014239407461485148,-248.74377943701393,,543,936,374,463,133,44,7,11
-0.013234579928860221,-36.96539750100213,,449,400,244,188,107,84,24,17
0.0035006792949420964,-91.6933189302861,,343,457,525,354,100,91,23,52
-0.004847531481252247,-59.82318008314272,,533,581,315,393,375,228,64,160
0.010099199676887449,-79.81236921007724,,195,304,239,188,92,141,45,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.0017320216094339619,-89.98609244045988,,379,484,531,417,102,61,11,13
0.005670995800415902,-119.5993139392944,,441,619,471,343,165,189,40,0
0.017583010084735565,-189.76343068252334,,254,474,483,215,137,139,31,1
-0.0048736345158999625,-37.145276466918986,,292,318,260,231,127,115,23,68
-0.0030116356882574774,-76.24300639472568,,470,536,252,159,104,111,28,0
0.0004549243044012826,-83.15975098465576,,1171,1451,780,863,783,802,213,263
0.02533612376658284,-554.5118208556036,,548,1234,698,558,480,558,161,2
-0.011796421843913338,-93.89324702930462,,432,399,205,312,327,261,72,208
0.027982857235684368,-420.174624043498,,645,1547,631,608,336,113,30,273
0.008507917233428794,-130.57617449896054,,548,824,748,589,178,133,31,67
0.004989756816209206,-121.86059183999464,,1217,1681,1127,857,896,978,296,168
0.00027463802379498574,-145.39736873800513,,1349,1664,979,1226,1224,1271,512,798
-0.0002845445602488242,-74.50222602943916,,1583,1927,1037,1081,811,739,215,345
-0.01495489069617333,-58.17579436789681,,564,482,299,249,182,138,38,96
0.0035016005877603253,-136.86299597896505,,547,729,362,240,186,161,55,0
0.019934358524936312,-135.4748551349866,,109,215,331,202,46,69,13,1
0.024247523039587188,-445.2499318582118,,817,1792,1117,1305,740,482,122,394
0.05232565267249304,-1770.589787815516,,299,1286,1312,1333,2043,2255,946,17
-0.002693596233985787,-29.66729674603461,,41,47,69,31,4,4,1,0
0.03865334485927955,-373.4383850715287,,18,55,475,111,8,10,2,6
-0.00784616900417341,-67.99889513792684,,1394,1415,628,438,222,247,64,41
0.0074693568178977945,-122.40837352816297,,800,1173,750,710,499,573,128,111
0.022850110303052153,-574.7385282862319,,622,1319,969,567,549,539,171,2
0.01000679698326475,-183.52978491260203,,462,720,418,287,184,244,61,0
0.004399693201284775,-101.12028906479199,,789,1074,617,654,312,305,81,66
-0.007931170792692812,-46.73432153647255,,931,943,444,396,289,251,69,66
-0.0012785408696089837,-79.6112116362685,,596,708,305,218,61,44,11,22
-0.00889619504013817,-42.85899672995767,,881,872,525,388,273,231,68,132
-0.039245835025151124,-19.143733978835357,,404,193,46,15,5,2,0,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.009597029837221327,-36.95889958275737,,986,960,577,428,229,142,35,44
0.00467294267224245,-195.24688962541939,,1724,2364,1188,957,951,842,264,102
-0.011571872240550127,-56.2546754254077,,1267,1176,476,508,298,185,44,72
-0.001270582564312615,-105.61889623474774,,928,1103,482,312,124,135,35,14
0.006966979645257269,-88.48498716111929,,240,347,209,116,59,69,15,0
-0.014115117464335608,-33.27460836127378,,476,415,259,161,61,41,10,13
-0.006930036125231315,-35.67031609826975,,406,421,202,168,96,51,10,7
-0.004541338413478874,-53.84303755497021,,670,736,349,451,275,173,50,90
-0.013581534366419758,-136.97722095683136,,597,528,253,382,409,367,116,369
-0.01350937459575638,-47.2152125468142,,650,576,209,208,165,111,25,50
0.01573717168354392,-35.27631714149948,,30,53,39,12,9,8,0,1
-0.0065252584939689915,-49.32678330445813,,914,958,493,493,354,314,78,96
-0.006657052530561705,-37.22198376885076,,54,56,45,10,2,11,2,0
-0.014839039633523227,-6.163742395457122,,1,0,0,0,0,0,0,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
0.06121059450521273,-1812.68221424971,,314,1672,1541,1365,1082,1772,568,33
-0.001261852491118428,-50.175648111853114,,523,622,416,427,359,345,83,77
-0.014382901926091112,-27.99748937683038,,152,131,49,42,35,30,8,4
-0.008977813922325644,-46.61844009098206,,1025,1013,542,339,249,149,39,38
-0.0006061375647308537,-43.73218685109009,,407,491,311,266,157,108,26,27
