372,598,19,830,149
270,479,87,82,22
852,1036,98,918,440
435,510,0,300,92
555,376,0,288,102
238,210,37,35,1
369,320,27,374,217
221,341,46,26,4
300,514,71,62,7
121,239,37,115,37
131,91,2,1,0
298,260,19,34,3
904,1089,126,1091,741
1155,1267,183,753,255
864,971,157,545,72
452,678,133,354,105
1078,969,88,628,213
886,993,95,544,160
0,0,0,0,0
266,393,0,512,115
289,349,61,83,11
799,1055,99,702,231
85,85,0,36,13
370,600,94,129,14
434,384,0,276,66
356,222,0,57,46
562,441,0,387,218
641,660,62,161,99
684,761,89,397,104
479,797,130,183,25
1055,899,75,570,233
118,259,63,7,0
579,504,0,230,65
348,682,126,24,1
680,1025,138,560,100
293,475,51,308,168
567,522,49,176,47
392,603,75,187,47
732,947,104,794,299
311,298,29,161,80
631,694,80,171,36
248,385,58,90,10
1003,744,90,583,229
1160,913,83,572,256
893,1035,122,721,271
1060,987,100,1082,489
0,0,0,0,0
0,0,0,0,0
2,6,0,1,1
337,245,4,207,161
319,411,72,158,27
480,648,84,403,73
53,78,11,9,3
594,740,66,333,233
281,194,20,49,22
1392,1740,149,1131,728
379,249,21,150,35
156,333,62,14,3
1215,1356,148,700,295
0,0,0,0,0
574,482,0,753,456
649,823,42,573,215
630,754,51,390,117
347,355,46,290,139
150,171,27,8,12
893,1102,103,670,263
461,516,0,467,120
363,369,41,190,76
454,684,92,425,68
396,484,76,75,18
129,174,18,32,4
231,166,0,278,103
2374,2188,228,1383,524
496,457,44,188,47
571,402,0,522,232
788,1211,106,317,66
135,84,6,11,6
206,234,19,18,0
783,1284,138,614,221
800,769,78,387,132
88,116,7,166,32
1028,1316,159,984,301
721,220,7,3,3
253,94,0,81,50
15,5,0,4,0
452,716,81,1046,297
109,59,0,43,8
301,448,0,225,73
0,1,0,0,1
707,651,0,736,441
1074,1047,114,1216,690
307,30,0,2,0
759,281,0,512,359
885,822,87,370,213
